ACR1,ACR2,ACR3,ACR4
118.84,0.0,0.0,0.0
11.84,0.0,0.0,0.0
443.416,443.843,44.0,0.0
431.841,431.416,0.0,0.0
454.842,457.842,0.0,0.0
441.842,33.842,0.0,0.0
454.842,0.0,0.0,0.0
443.843,441.843,0.0,0.0
4642.843,0.0,0.0,0.0
454.843,457.843,46.0,0.0
336.721,0.0,0.0,0.0
467.721,337.721,47.0,0.0
438.721,337.721,0.0,0.0
4338.721,468.721,0.0,0.0
467.721,0.0,0.0,0.0
461.721,0.0,0.0,0.0
437.721,467.721,33.0,0.0
358.721,337.721,44.0,0.0
337.73,0.0,0.0,0.0
321.4963,0.0,0.0,0.0
331.4963,0.0,0.0,0.0
321.4963,331.4963,0.0,0.0
453.449,0.0,0.0,0.0
438.713,0.0,0.0,0.0
45.565,0.0,0.0,0.0
332.134,0.0,0.0,0.0
691.415,691.456,0.0,0.0
12.366,0.0,0.0,0.0
352.3661,0.0,0.0,0.0
134.366,0.0,0.0,0.0
139.366,0.0,0.0,0.0
112.366,0.0,0.0,0.0
36.1452,0.0,0.0,0.0
4525.4852,4525.1495,0.0,0.0
456.3316,0.0,0.0,0.0
444.3316,0.0,0.0,0.0
332.3318,333.3318,0.0,0.0
331.3337,441.3337,0.0,0.0
453.3326,60.3212,0.0,0.0
443.331,443.569,0.0,0.0
4643.3316,60.321,0.0,0.0
413.331,0.0,0.0,0.0
415.331,412.331,0.0,0.0
321.331,0.0,0.0,0.0
332.3318,331.3318,0.0,0.0
331.3316,332.3316,0.0,0.0
4411.3312,442.771,0.0,0.0
321.3316,322.3316,0.0,0.0
118.331,0.0,0.0,0.0
321.333,331.333,0.0,0.0
44.333,33.333,0.0,0.0
331.3316,63.3212,0.0,0.0
118.333,0.0,0.0,0.0
472.333,0.0,0.0,0.0
331.333,441.333,0.0,0.0
4412.333,443.333,0.0,0.0
321.3337,331.3337,0.0,0.0
44.333,41.333,33.0,0.0
448.3331,418.3331,0.0,0.0
321.3328,321.3318,0.0,0.0
338.3328,443.3328,0.0,0.0
321.3328,331.3328,0.0,0.0
44.332,33.332,0.0,0.0
441.3327,443.3327,0.0,0.0
338.3328,338.3338,0.0,0.0
328.3328,338.3328,0.0,0.0
321.331,415.331,0.0,0.0
442.3318,443.3318,0.0,0.0
461.331,462.331,0.0,0.0
321.3336,331.3336,0.0,0.0
311.331,0.0,0.0,0.0
441.331,443.331,44.0,0.0
44.331,0.0,0.0,0.0
118.331,471.331,0.0,0.0
331.0,0.0,0.0,0.0
448.3316,441.3316,0.0,0.0
442.331,443.332,0.0,0.0
118.331,118.3452,0.0,0.0
421.811,429.811,0.0,0.0
444.811,449.811,0.0,0.0
4412.811,0.0,0.0,0.0
48.1611,0.0,0.0,0.0
127.3641,0.0,0.0,0.0
3.1831,0.0,0.0,0.0
443.441,443.851,0.0,0.0
443.441,0.0,0.0,0.0
443.441,33.781,0.0,0.0
451.448,451.458,0.0,0.0
451.441,0.0,0.0,0.0
451.441,452.485,45.0,0.0
4331.441,434.483,4.0,0.0
4336.1334,433.411,0.0,0.0
4641.1334,463.451,0.0,0.0
4411.1334,443.411,0.0,0.0
12.3635,0.0,0.0,0.0
4645.131,0.0,0.0,0.0
413.131,0.0,0.0,0.0
4642.74,0.0,0.0,0.0
4525.4852,4525.139,0.0,0.0
